Learning Rate,Batch Size,Epoch,Train Accuracy,Train Loss,Test Accurracy,Test Loss
1e-05,2,30,0.5602288842201233,1.8771008253097534,0.44759678840637207,3.1895997524261475
1e-05,2,45,0.5310443639755249,1.7347214221954346,0.4495994746685028,2.44213604927063
1e-05,2,60,0.4320457875728607,1.5550408363342285,0.39419224858283997,1.8659061193466187
1e-05,2,75,0.4547925591468811,1.5808241367340088,0.4068758487701416,2.136648416519165
1e-05,2,90,0.5665236115455627,1.858337163925171,0.4188918471336365,3.25065541267395
1e-05,2,105,0.54377681016922,1.7412761449813843,0.42389851808547974,2.7275073528289795
1e-05,2,120,0.5673819780349731,1.9417734146118164,0.45560747385025024,3.3115200996398926
1e-05,2,135,0.5736767053604126,1.7907922267913818,0.4599466025829315,3.097801923751831
1e-05,4,15,0.5685264468193054,1.7038788795471191,0.44425901770591736,2.883527994155884
1e-05,4,30,0.44635194540023804,1.5919610261917114,0.37383177876472473,1.963768482208252
1e-05,4,45,0.5414878129959106,1.853065848350525,0.4362483322620392,2.9027061462402344
1e-05,4,60,0.44678112864494324,1.606300950050354,0.3648197650909424,2.020056962966919
1e-05,4,75,0.4783976972103119,1.6023530960083008,0.3861815631389618,2.140571117401123
1e-05,4,90,0.5556509494781494,1.6951017379760742,0.43424564599990845,2.814802646636963
1e-05,4,105,0.5729613900184631,1.7393198013305664,0.4649532735347748,2.962674617767334
1e-05,4,120,0.5668097138404846,1.8927069902420044,0.4312416613101959,3.077131748199463
1e-05,4,135,0.5705293416976929,1.6987192630767822,0.45260345935821533,2.7357637882232666
1e-05,8,15,0.4263233244419098,1.6024096012115479,0.39152202010154724,1.8833540678024292
1e-05,8,30,0.47739627957344055,1.5367660522460938,0.3965286910533905,1.9551825523376465
